@,dirka,mal,2024
18,0,F. Quartararo,MONSTER ENERGY YAMAHA MOTOGP TEAM,2482.007
19,0,J. Zarco,CASTROL HONDA LCR,2482.842
20,0,L. Marini,REPSOL HONDA TEAM,2483.695
21,0,L. Savadori,APRILIA RACING,2498.109
@,dirka,cat,2024
1,25,F. Bagnaia,DUCATI LENOVO TEAM,2411.726
2,20,J. Martin,PRIMA PRAMAC RACING,2413.466
3,16,M. Marquez,GRESINI RACING MOTOGP,2422.217
4,13,A. Espargaro,APRILIA RACING,2422.269
5,11,F. Di Giannantonio,PERTAMINA ENDURO VR46 RACING TEAM,2427.167
6,10,R. Fernandez,TRACKHOUSE RACING,2427.642
7,9,A. Marquez,GRESINI RACING MOTOGP,2428.608
8,8,B. Binder,RED BULL KTM FACTORY RACING,2430.304
9,7,F. Quartararo,MONSTER ENERGY YAMAHA MOTOGP TEAM,2432.203
10,6,M. Oliveira,TRACKHOUSE RACING,2432.615
11,5,M. Bezzecchi,PERTAMINA ENDURO VR46 RACING TEAM,2432.749
12,4,M. Viales,APRILIA RACING,2433.863
13,3,P. Acosta,RED BULL GASGAS TECH3,2443.693
14,2,T. Nakagami,IDEMITSU HONDA LCR,2444.713
15,1,J. Mir,REPSOL HONDA TEAM,2444.858
16,0,J. Zarco,CASTROL HONDA LCR,2446.280
17,0,L. Marini,REPSOL HONDA TEAM,2448.415
18,0,E. Bastianini,DUCATI LENOVO TEAM,2462.341
19,0,S. Bradl,HRC TEST TEAM,2467.021
20,0,A. Rins,MONSTER ENERGY YAMAHA MOTOGP TEAM,2475.154
@,dirka,fra,2024
1,25,J. Martin,PRIMA PRAMAC RACING,2483.709
2,20,M. Marquez,GRESINI RACING MOTOGP,2484.155
3,16,F. Bagnaia,DUCATI LENOVO TEAM,2484.294
4,13,E. Bastianini,DUCATI LENOVO TEAM,2485.915
5,11,M. Viales,APRILIA RACING,2487.762
6,10,F. Di Giannantonio,PERTAMINA ENDURO VR46 RACING TEAM,2493.189
7,9,F. Morbidelli,PRIMA PRAMAC RACING,2493.577
8,8,B. Binder,RED BULL KTM FACTORY RACING,2494.062
9,7,A. Espargaro,APRILIA RACING,2495.101
10,6,A. Marquez,GRESINI RACING MOTOGP,2497.151
11,5,R. Fernandez,TRACKHOUSE RACING,2507.910
12,4,J. Zarco,CASTROL HONDA LCR,2510.518
13,3,A. Fernandez,RED BULL GASGAS TECH3,2511.135
14,2,T. Nakagami,IDEMITSU HONDA LCR,2513.735
15,1,A. Rins,MONSTER ENERGY YAMAHA MOTOGP TEAM,2514.645
16,0,L. Marini,REPSOL HONDA TEAM,2523.709
@,dirka,spa,2024
1,25,F. Bagnaia,DUCATI LENOVO TEAM,2458.053
